Date,MV Beds Occupied,Hospital Cases,New Admissions,New COVID-19 Cases,New COVID-19 Deaths,New Vaccinations
2020-04-02,1494.0,12135.0,2932.0,4097.0,892.0,0.0
2020-04-03,1788.0,13635.0,2564.0,4102.0,927.0,0.0
2020-04-04,1950.0,15469.0,2593.0,3405.0,1023.0,0.0
2020-04-05,2097.0,16657.0,2592.0,3094.0,1063.0,0.0
2020-04-06,2264.0,17154.0,2679.0,4407.0,1025.0,0.0
2020-04-07,2472.0,17814.0,2744.0,4605.0,1145.0,0.0
2020-04-08,2561.0,18152.0,2619.0,4315.0,1286.0,0.0
2020-04-09,2546.0,18423.0,2340.0,4076.0,1177.0,0.0
2020-04-10,2820.0,18669.0,2196.0,3590.0,1163.0,0.0
2020-04-11,2865.0,18604.0,1955.0,3085.0,1203.0,0.0
2020-04-12,2881.0,18974.0,1791.0,2958.0,1208.0,0.0
2020-04-13,2872.0,18621.0,1912.0,3463.0,1076.0,0.0
2020-04-14,2849.0,18552.0,1859.0,3568.0,1080.0,0.0
2020-04-15,2847.0,17934.0,1608.0,4240.0,1100.0,0.0
2020-04-16,2838.0,17783.0,1777.0,4360.0,1147.0,0.0
2020-04-17,2780.0,16728.0,1674.0,4088.0,1107.0,0.0
2020-04-18,2868.0,16850.0,1411.0,4142.0,1030.0,0.0
2020-04-19,2820.0,16928.0,1475.0,3494.0,967.0,0.0
2020-04-20,2780.0,16654.0,1522.0,3698.0,992.0,0.0
2020-04-21,2701.0,16517.0,1495.0,3996.0,916.0,0.0
2020-04-22,2646.0,16018.0,1310.0,4812.0,939.0,0.0
2020-04-23,2563.0,15402.0,1289.0,4574.0,893.0,0.0
2020-04-24,2414.0,14642.0,1277.0,4352.0,874.0,0.0
2020-04-25,2405.0,14202.0,1080.0,3381.0,771.0,0.0
2020-04-26,2309.0,14174.0,1208.0,3137.0,763.0,0.0
2020-04-27,2194.0,14255.0,1344.0,4056.0,724.0,0.0
2020-04-28,2093.0,13565.0,1296.0,4113.0,701.0,0.0
2020-04-29,2045.0,13224.0,1295.0,4737.0,699.0,0.0
2020-04-30,1991.0,12922.0,1227.0,4314.0,660.0,0.0
2020-05-01,1954.0,12623.0,1081.0,4109.0,661.0,0.0
2020-05-02,1844.0,12314.0,980.0,2762.0,590.0,0.0
2020-05-03,1795.0,12119.0,1044.0,2648.0,556.0,0.0
2020-05-04,1724.0,12020.0,1063.0,2851.0,562.0,0.0
2020-05-05,1662.0,11754.0,959.0,3148.0,537.0,0.0
2020-05-06,1610.0,11227.0,1040.0,3264.0,524.0,0.0
2020-05-07,1493.0,10726.0,998.0,3205.0,535.0,0.0
2020-05-08,1446.0,10249.0,743.0,2622.0,482.0,0.0
2020-05-09,1398.0,10176.0,798.0,1797.0,463.0,0.0
2020-05-10,1362.0,9893.0,756.0,2013.0,423.0,0.0
2020-05-11,1316.0,10109.0,866.0,3088.0,355.0,0.0
2020-05-12,1247.0,9791.0,844.0,2940.0,380.0,0.0
2020-05-13,1198.0,9602.0,804.0,2899.0,373.0,0.0
2020-05-14,1162.0,9231.0,763.0,2222.0,373.0,0.0
2020-05-15,1200.0,9079.0,738.0,2145.0,359.0,0.0
